case_number,latitude,longitude,cluster
JK199650,41.76726,-87.5751,7
JK170486,41.823196,-87.66176,3
JK212108,41.65814,-87.61367,6
JK179453,41.753204,-87.73041,3
JK219628,41.85726,-87.64663,2
JK225573,41.97432,-87.75654,0
JK164688,41.878582,-87.74633,4
JK182353,41.988857,-87.78399,0
JK151188,41.799313,-87.64529,3
JK192798,41.789474,-87.7108,3
JK214447,41.95483,-87.71158,1
JK146270,41.793068,-87.67184,3
JK233266,41.8318,-87.61698,2
JK203052,41.793198,-87.66578,3
JK154950,41.84993,-87.706825,4
JK235416,41.734806,-87.6063,7
JK237006,41.897987,-87.72986,0
JK226636,41.94679,-87.65619,1
JK220426,41.767414,-87.589485,7
JK143352,41.78307,-87.66727,3
JK218846,41.7866,-87.620636,5
JK159978,41.966053,-87.65789,1
JK226463,41.79986,-87.62098,5
JK223547,41.87714,-87.72153,4
JK182578,41.73755,-87.60485,7
JK153264,41.896526,-87.67952,4
JK209518,41.788246,-87.6223,5
JK170163,41.78295,-87.60436,5
JK141387,41.878475,-87.63521,2
JK161414,41.897022,-87.62978,2
JK185838,41.7844,-87.663124,3
JK151040,41.9254,-87.652336,1
JK220635,41.72759,-87.58502,7
JK194911,41.87661,-87.758545,0
JK156135,41.74404,-87.65478,5
JK187761,41.7802,-87.68733,3
JK153556,41.904137,-87.74925,0
JK224726,41.785778,-87.66559,3
JK214431,41.91024,-87.69485,4
JK155856,41.792522,-87.70721,3
JK215073,41.868904,-87.65674,4
JK221982,41.79451,-87.60622,5
JK221255,41.90986,-87.63855,2
JK198676,41.693203,-87.62312,6
JK210093,41.77311,-87.586296,7
JK168561,41.769924,-87.63727,5
JK170642,41.911552,-87.770355,0
JK214665,41.745388,-87.545494,7
JK188212,41.87418,-87.667854,4
JK186927,41.876587,-87.62873,2
JK228135,41.79143,-87.65966,3
JK196654,41.930897,-87.697586,0
JK166084,41.893444,-87.77009,0
JK164492,41.8849,-87.650955,4
JK187783,41.8402,-87.70368,4
JK178125,41.897873,-87.71395,0
JK163140,41.88133,-87.73059,4
JK187023,41.871883,-87.68619,4
JK237380,41.943733,-87.6407,1
JK213927,41.87231,-87.742874,4
JK154774,41.72826,-87.61854,7
JK186066,41.746437,-87.68435,3
JK200999,41.859833,-87.72987,4
JK193376,41.802593,-87.6563,3
JK193265,41.90396,-87.62748,2
JK198719,41.893223,-87.63153,2
JK225682,41.852127,-87.6789,4
JK191031,41.8124,-87.619675,2
JK213535,41.906517,-87.77309,0
JK194184,41.815845,-87.62301,2
JK212542,41.893456,-87.61702,2
JK173133,41.88118,-87.620804,2
