tSNE1,tSNE2
-17.418818,-41.0115
36.24189,-3.885982
11.473243,1.4191487
14.157011,3.175372
3.3959217,14.827681
33.46709,-14.044735
-13.812669,31.11443
-36.531723,8.629317
0.47365654,16.203709
7.8905463,46.434986
5.819548,51.758186
36.33561,34.827095
-16.792854,-54.98555
-16.653257,-56.977802
19.132048,-53.13944
-1.3331133,-18.963299
10.1613455,-54.294678
55.679363,-43.73804
-65.149124,24.51213
-28.487198,-33.595978
43.114193,4.1628046
-35.167812,-3.8840592
55.5536,-30.205938
-58.403225,13.91095
-10.515215,62.196434
10.642925,69.86
56.68468,-37.45338
-42.30645,-38.637005
-42.057842,6.276807
64.34195,-2.0615811
30.219193,29.377832
-16.701645,62.57775
-43.984764,-12.663764
-22.106989,46.18128
-27.632502,-60.457348
11.913677,-47.78892
45.91693,-45.235115
30.238594,11.227033
-7.96154,73.41702
20.753286,-54.80164
79.641525,2.982242
60.88938,-44.538647
56.348736,-45.8162
10.565679,43.285202
-11.677007,61.382732
-5.5894256,-7.1614895
-19.117887,-57.2848
-52.31047,22.742796
-4.5391955,4.9219995
-11.7405615,60.236256
-41.324295,18.768005
-5.172885,-2.1251242
43.068886,24.732683
-18.908594,-53.891205
30.672476,8.916365
-7.6526065,71.64152
38.669342,38.88976
9.082568,50.429462
-0.9582763,19.27603
12.651754,46.636757
-71.76328,1.2365185
43.41663,0.2403319
18.035282,-26.514507
-16.968456,3.312498
8.778457,70.819954
-6.463701,-0.6549259
4.6050777,53.11708
15.66079,-8.9139385
-65.31161,9.975842
-13.378877,-51.56969
73.69132,7.068947
18.986683,-51.83294
20.67025,63.096085
-21.87545,56.481384
-73.94755,17.217758
-65.9279,2.9052188
-70.08621,-6.8993063
-67.635605,-1.5113755
-25.086393,-59.427074
48.5433,9.892298
-10.040313,62.641273
60.949963,-44.50449
-20.155123,-1.3456345
-20.510979,36.653343
44.064392,35.253597
52.90443,10.199227
-37.988953,-37.219265
47.141937,-38.579445
0.29364127,-21.73179
-6.327184,-8.130368
-59.28026,-14.141354
46.56321,-46.355312
-70.04196,12.950325
-22.322666,-42.650963
50.50407,-36.23938
-61.84278,8.043978
-17.444891,-26.442049
-22.793016,-61.488842
28.174292,-6.7663393
8.337242,62.584538
-10.300929,-9.385544
-6.468413,59.07009
-54.593464,-3.9378831
-10.489266,-2.8466415
-11.275574,69.015045
-6.820564,60.116325
-51.085796,-4.4015055
60.696667,-50.63717
0.34231737,17.788937
1.65354,50.06371
-64.75431,-10.235995
31.70473,-30.316395
9.9867935,-58.712727
51.097107,-44.391575
38.890842,21.319483
24.614067,-52.803867
-2.127185,-17.769453
-14.203915,-25.693869
75.785934,7.422672
20.069096,62.827232
-40.367214,13.399519
-16.236588,-54.85561
23.844309,15.91058
-11.070519,54.96503
56.700626,-47.735718
-8.601731,65.41073
-34.427338,-31.245955
12.252245,58.27566
-65.62587,1.7916374
3.1527684,17.373045
12.818572,1.0715885
-8.079231,22.966688
-19.095354,-6.1373577
34.89118,1.1355947
58.974422,-49.42194
-16.214354,-8.153616
76.23539,-9.811729
31.195192,16.290625
4.1906934,41.95619
35.29445,-18.02615
30.638432,-34.44141
-4.3002734,48.290623
10.895133,40.464935
-55.46122,24.065542
-3.5613198,5.6138673
-20.701899,36.09684
-9.609708,19.012617
-61.79268,-14.86488
60.417732,-10.025164
28.608387,-24.940887
14.868025,58.868828
-14.455911,-11.499277
77.22188,-11.133506
